"Year","Location2","Location3","Location4","Location5"
1851,4.5,3.99,6.66,4.57
1852,3.6,3.83,8.8,6.91
1853,4.85,4.12,4.45,3.19
1854,3.24,6.19,8.79,6.44
1855,6.67,7,9.24,8.66
1856,6.26,6.71,8.56,5.66
1857,5.01,6.61,8.19,8.45
1858,7.73,7.76,8.33,8.47
1859,4.29,6.41,8.42,7.08
1860,3.87,4.89,7.25,6.56
1861,3.77,6.36,8.59,8.2
1862,4.63,6.88,7.84,8.29
1863,5.64,5.99,6.35,6.15
1864,4.99,6.51,7.96,6.71
1865,7.48,7.82,9.39,9.01
1866,3.3,5.45,8.79,6.63
1867,5.82,8.26,7.86,8.28
1868,0,4.94,8.35,7.4
1869,0,3.9,7.22,7.93
1870,5.31,7.26,8.87,6.57
1871,7.86,5.9,5.36,4.99
1872,3.06,5.22,8.97,9.43
1873,4.95,4.79,8.07,11.05
1874,0.04,5.85,7.38,7.08
1875,5.52,6.49,9.02,8.16
1876,3.92,5.86,7.64,7.51
1877,7.1,7.1,8.22,5.06
1878,6.69,5.35,8.8,6.46
1879,4.32,6.45,8.72,8.16
1880,6.08,6.83,8.53,8.32
1881,6.14,7.13,8.55,7.13
1882,6.31,7.58,8.11,4.68
1883,5.49,4.29,9.04,4.65
1884,4,6.75,7.54,6.8
1885,7.73,5.13,7.19,3.65
1886,4.44,5.54,8.8,7.13
1887,6.38,7.09,8.27,6.99
1888,4.84,6.26,8.23,6.53
1889,7.12,8.16,9.21,6.42
1890,6.79,6.96,8.5,7.98
1891,3.66,5.44,5.39,4.41
1892,3.89,6.8,8.13,5.4
1893,7.03,7.83,8.96,8.18
1894,7,4.05,8,5.29
1895,0,6.84,8.59,8.99
1896,0,6.23,8.18,5.38
1897,7.24,7.47,8.42,4.68
1898,3.89,3.76,8.95,6.77
1899,6.56,6.67,9.79,8.43
1900,4.88,5.95,6.74,8.06
1901,6.04,6.88,7.87,5.57
1902,4.26,4.91,8.32,7.37
1903,3.49,4.29,7.95,11.81
1904,7.64,7.18,9.66,3.59
1905,12.01,7.2,8.26,7.89
1906,4.46,7.74,8.65,8.58
1907,8.27,7.43,9.19,8.49
1908,4.52,6.4,8.12,7.83
1909,5.13,6.14,8.44,9.1
1910,8.37,7.5,8.71,5.4
1911,10.27,5.11,7.76,7.16
1912,4.59,5.03,8.96,5.69
1913,4.03,6.73,7.99,5.14
1914,4.71,3.41,4.83,5.64
1915,4.77,3.5,7.9,8.84
1916,3.88,2.74,4.96,3.93
1917,7.91,8.05,9.05,8.48
1918,7.65,7.15,9,8.05
1919,6.56,7.35,8.99,6.91
1920,7.54,6.71,8.27,7.77
1921,5.59,4.93,8,5.46
1922,8.98,7.05,7.86,8.25
1923,3.84,7.44,9.44,8.45
1924,3.5,3.55,8.08,5.56
1925,6.5,6.05,8.89,8.96
1926,6.93,5.57,8.76,7.05
1927,7.82,8.06,8.81,8.5
1928,8.57,8.3,9.36,7.63
1929,0,8.03,9.63,6.31
1930,3.3,7.36,9.21,8.37
1931,4.27,4.05,8.26,7.91
1932,8.27,8.33,9.17,6.52
1933,6.12,4.66,9.09,8.54
1934,3.54,6.63,9.7,6.26
1935,7.7,8.1,9.48,8.8
1936,7.65,8.71,9.64,7.79
1937,7.88,7.5,8.86,6.17
1938,6.66,7.68,9.11,8.09
1939,7.99,7.76,8.63,8.14
1940,2.85,4.66,5.54,5.52
1941,8.15,7.68,8.81,6.59
1942,4.02,4,5.28,5.08
1943,5.66,3.72,7.36,3.39
1944,4.21,4.54,6.84,4.67
1945,8.93,4.13,8.71,8.01
1946,0,6.27,8.51,4.9
1947,4.74,5.22,8.8,7.52
1948,7.74,8.68,9.64,9.14
1949,0,4.41,9.45,8.69
1950,4.24,6.35,9.11,6.13
1951,5.72,4.1,5.24,5.05
1952,5.64,5.88,8.84,5.86
1953,4.87,5.11,6.04,5.71
1954,8.96,6.03,8.94,0
1955,0.12,7.53,9.63,6.45
1956,8.77,7.22,6.7,4.74
1957,4.8,3.81,6.4,3.66
1958,3.8,4.09,9.26,5.61
1959,10.18,6.2,8.43,4.57
1960,0.02,6.78,8.63,8.17
1961,8.14,8.69,9.51,9.32
1962,5.94,5.8,8.87,8.36
1963,7.45,8.28,9.58,8.69
1964,4.71,4.25,9.74,4.54
1965,9.39,8.91,9.49,9.6
1966,3.39,3.84,8.75,8.85
1967,6.37,5.69,9.47,8.05
1968,5.63,4.62,8.65,3.64
1969,3.8,8.36,9.79,10.42
1970,6.34,5.66,10.63,8.35
1971,8.11,7.97,9.01,8.35
1972,9.35,8.97,9.47,9.31
1973,7.03,8.42,8.97,8.55
1974,7.48,8.37,10.41,9.04
1975,9.92,6.78,9.17,9.1
1976,0.05,6.14,9.6,8.7
1977,7.62,8.85,9.92,8.56
1978,9.08,8.69,9.93,9.12
1979,8.69,8.11,9.65,9.69
1980,12.44,8.25,10.07,8.6
1981,0,6.63,9.73,9.65
1982,8.31,6.99,9.77,8.94
1983,0,6.38,9.47,8.98
1984,7.98,6.31,9.23,5.89
1985,7.33,7.54,10.12,5.74
1986,9.07,8.75,10.08,12.56
1987,4.08,4.18,6.63,0
1988,0,8.61,9.76,9.22
1989,6.46,8.24,10.13,8.33
1990,4.94,5.6,9.72,4.6
1991,0,6.37,6.62,7.45
1992,5.04,6.45,9.3,8.63
1993,7.28,8.08,9.78,9.78
1994,8.7,7.99,8.67,3.93
1995,7.09,9.41,10.13,9.36
1996,0,7.09,9.89,8.17
1997,7.98,7.79,9.82,6.48
1998,3.89,4.61,9.5,8.96
1999,10.57,8.24,9.54,7.04
2000,0,5.71,9.57,8.51
2001,7.7,7.62,9.98,5.57
2002,1.26,9.02,9.37,6.97
2003,10.19,9.32,10.04,10.01
2004,0,7.35,9.94,6.74
2005,7.07,7.23,10.76,7.88
2006,9.52,9.45,9.94,9.7
2007,0,6.91,9.79,8.31
2008,7.1,7.07,9.01,9.49
2009,8.39,5.73,9.79,5.57
2010,7.83,8.07,8.6,9.23
2011,8.64,7.86,10.1,9.4
2012,8.2,5.62,9.58,6.35
2013,5.51,3.97,8.24,3.95
2014,8.53,6.49,10.13,10.49
